Name,lon,lat
aoi_11,2.1229102,41.395493
aoi_11,2.1231248,41.3956056
aoi_11,2.1241762,41.3942374
aoi_11,2.124262,41.3929013
aoi_11,2.1257212,41.3934164
aoi_11,2.1264936,41.3916618
aoi_11,2.1273949,41.3918872
aoi_11,2.1267511,41.3939476
aoi_11,2.1270945,41.3941408
aoi_11,2.1276094,41.3937545
aoi_11,2.1282746,41.3943179
aoi_11,2.1268155,41.3956539
aoi_11,2.1259787,41.3960402
aoi_11,2.1256353,41.3964427
aoi_11,2.1253135,41.3963783
aoi_11,2.1249487,41.3967163
aoi_11,2.1243693,41.3971509
aoi_11,2.1238543,41.397843
aoi_11,2.1235325,41.398165
aoi_11,2.1232535,41.3980362
aoi_11,2.1228029,41.3983742
aoi_11,2.1226313,41.3992112
aoi_11,2.1222021,41.3997585
aoi_11,2.1225454,41.3999033
aoi_11,2.1222236,41.4002896
aoi_11,2.1218588,41.40103
aoi_11,2.1220304,41.4006437
aoi_11,2.1217515,41.4004345
aoi_11,2.1214511,41.4006598
aoi_11,2.1204855,41.4014485
aoi_11,2.1195414,41.4010461
aoi_11,2.1191766,41.4014646
aoi_12,2.1374484,41.4013288
aoi_12,2.1374699,41.4008459
aoi_12,2.1378346,41.4008137
aoi_12,2.1380707,41.401039
aoi_12,2.1380492,41.4012966
aoi_12,2.1374484,41.4013288
aoi_13,2.1320625,41.4062698
aoi_13,2.13232,41.4059801
aoi_13,2.1321698,41.4058353
aoi_13,2.132556,41.4054651
aoi_13,2.1319981,41.4051271
aoi_13,2.131569,41.4048374
aoi_13,2.1317407,41.4046926
aoi_13,2.1313115,41.4045316
aoi_13,2.1313544,41.4041132
aoi_13,2.1318265,41.4036303
aoi_13,2.1325131,41.4029222
aoi_13,2.1330067,41.4031153
aoi_13,2.1333714,41.4025198
aoi_13,2.1335646,41.4026968
aoi_13,2.1339079,41.4025198
aoi_13,2.1336289,41.4023267
aoi_13,2.1340581,41.4016829
aoi_13,2.1345731,41.4019726
aoi_13,2.1352812,41.4014253
aoi_13,2.136912,41.4024071
aoi_13,2.1362897,41.4030027
aoi_13,2.1365472,41.4033245
aoi_13,2.1368261,41.4030509
aoi_13,2.1366974,41.4028739
aoi_13,2.1368905,41.4027612
aoi_13,2.1370407,41.4029222
aoi_13,2.1388217,41.4014253
aoi_13,2.1392294,41.4017955
aoi_13,2.1388431,41.4021174
aoi_13,2.1392938,41.4024715
aoi_13,2.1380063,41.4032441
aoi_13,2.138178,41.4033889
aoi_13,2.1378346,41.4035338
aoi_13,2.1392938,41.4053042
aoi_13,2.138929,41.4063181
aoi_13,2.138178,41.4061411
aoi_13,2.137663,41.40561
aoi_13,2.1363755,41.4063342
aoi_13,2.1341868,41.4071389
aoi_13,2.1340581,41.4074286
aoi_13,2.1337148,41.4075895
aoi_13,2.1335646,41.4072838
aoi_13,2.1334144,41.4074125
aoi_13,2.1331998,41.4072838
aoi_13,2.1333714,41.4069297
aoi_13,2.1320625,41.4062698
aoi_14,2.1373411,41.4064308
aoi_14,2.137663,41.406125
aoi_14,2.1379419,41.4063181
aoi_14,2.1376201,41.4065917
aoi_14,2.1373411,41.4064308
aoi_15,2.1344302,41.4086127
aoi_15,2.1348165,41.4083713
aoi_15,2.1359323,41.409353
aoi_15,2.1362756,41.4096749
aoi_15,2.1367048,41.409176
aoi_15,2.1373914,41.409176
aoi_15,2.1372197,41.4094657
aoi_15,2.1374772,41.409868
aoi_15,2.1378635,41.4098197
aoi_15,2.1379493,41.4100933
aoi_15,2.1384857,41.4102543
aoi_15,2.1386574,41.4106405
aoi_15,2.1393226,41.4105278
aoi_15,2.1395801,41.410383
aoi_15,2.1399234,41.4109141
aoi_15,2.140138,41.4106727
aoi_15,2.1409963,41.4113164
aoi_15,2.1413182,41.4112037
aoi_15,2.1415542,41.4116061
aoi_15,2.1415542,41.4119762
aoi_15,2.1411679,41.412121
aoi_15,2.1407388,41.4121049
aoi_15,2.1402238,41.4116543
aoi_15,2.1399663,41.4118635
aoi_15,2.1405886,41.4123785
aoi_15,2.1403096,41.4126521
