in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
310.0,3.0,,3.0,,3.0,,,2.0,1.0,1.0,out,115.0
311.0,1.0,,,,4.0,2.0,,1.0,2.0,,out,115.0
312.0,,,2.0,,,2.0,1.0,,5.0,,out,115.0
313.0,,,,,,,,,2.0,,out,115.0
314.0,,1.0,,,,1.0,,,1.0,,out,115.0
315.0,,,,,,1.0,,,,,out,115.0
316.0,2.0,,7.0,3.0,2.0,,8.0,6.0,27.0,3.0,aoi_16,15.0
316.0,2.0,,7.0,3.0,2.0,,8.0,6.0,27.0,3.0,out,115.0
317.0,10.0,2.0,22.0,12.0,20.0,2.0,44.0,48.0,42.0,1.0,aoi_16,15.0
317.0,10.0,2.0,22.0,12.0,20.0,2.0,44.0,48.0,42.0,1.0,out,115.0
318.0,3.0,4.0,15.0,7.0,15.0,3.0,24.0,7.0,27.0,5.0,aoi_16,15.0
318.0,3.0,4.0,15.0,7.0,15.0,3.0,24.0,7.0,27.0,5.0,out,115.0
319.0,6.0,4.0,8.0,8.0,14.0,7.0,11.0,13.0,30.0,7.0,aoi_16,15.0
319.0,6.0,4.0,8.0,8.0,14.0,7.0,11.0,13.0,30.0,7.0,out,115.0
320.0,6.0,3.0,12.0,9.0,28.0,7.0,2.0,12.0,34.0,11.0,out,115.0
321.0,6.0,3.0,10.0,7.0,62.0,16.0,6.0,14.0,49.0,5.0,out,115.0
321.0,6.0,3.0,10.0,7.0,62.0,16.0,6.0,14.0,49.0,5.0,aoi_21,20.0
322.0,5.0,7.0,23.0,11.0,33.0,8.0,9.0,12.0,41.0,8.0,out,115.0
322.0,5.0,7.0,23.0,11.0,33.0,8.0,9.0,12.0,41.0,8.0,aoi_21,20.0
323.0,6.0,1.0,17.0,6.0,40.0,7.0,5.0,9.0,33.0,1.0,aoi_21,20.0
323.0,6.0,1.0,17.0,6.0,40.0,7.0,5.0,9.0,33.0,1.0,out,115.0
324.0,3.0,6.0,9.0,5.0,30.0,12.0,3.0,7.0,41.0,9.0,out,115.0
